date,avg_polarity,avg_subjectivity,positive_count,negative_count,neutral_count,article_count
2025-05-09,0.12146070765968726,0.3730250022086757,4,1,2,7
2025-05-10,0.031805555555555545,0.4553535353535354,2,1,1,4
2025-05-11,0.07103174603174604,0.38597883597883603,1,1,1,3
2025-05-12,0.09754562672176309,0.4708721959858323,5,1,5,11
2025-05-13,0.08782869277187459,0.448244712638652,7,2,3,12
2025-05-14,0.048208648989898996,0.37659481721981725,4,2,6,12
2025-05-15,0.0,0.0,0,0,1,1
